Umywalki -- Wymiary przyłączeniowe,PN-EN 31+A1:2014-07,{'PN-EN 31:2011'}
Miski ustępowe i zestawy WC -- Wymiary przyłączeniowe,PN-EN 33:2019-06,"{'PN-EN 33:2011/AC:2014-07', 'PN-EN 33:2011'}"
Stojące i podwieszane bidety zasilane od góry -- Wymiary przyłączeniowe,PN-EN 35:2014-07,"{'PN-EN 35:2001', 'PN-EN 36:2000', 'PN-EN 36:2000/Ap1:2003'}"
Słupy oświetleniowe -- Terminy i definicje,PN-EN 40-1:2002,set()
Słupy oświetleniowe -- Terminy i definicje,PN-EN 40-1:2002,set()
Słupy oświetleniowe -- Część 2: Wymagania ogólne i wymiary,PN-EN 40-2:2005,{'PN-EN 40-2:2002'}
Słupy oświetleniowe -- Część 3-1: Projektowanie i weryfikacja -- Obciążenia charakterystyczne,PN-EN 40-3-1:2013-06,{'PN-EN 40-3-1:2004'}
Słupy oświetleniowe -- Część 3-1: Projektowanie i weryfikacja -- Specyfikacja obciążeń charakterystycznych,PN-EN 40-3-1:2013-06,{'PN-EN 40-3-1:2004'}
Słupy oświetleniowe -- Część 3-2: Projektowanie i weryfikacja -- Weryfikacja za pomocą badań,PN-EN 40-3-2:2013-06,{'PN-EN 40-3-2:2004'}
Słupy oświetleniowe -- Część 3-2: Projektowanie i weryfikacja -- Weryfikacja za pomocą badań,PN-EN 40-3-2:2013-06,{'PN-EN 40-3-2:2004'}
Słupy oświetleniowe -- Część 3-3: Projektowanie i weryfikacja -- Weryfikacja za pomocą obliczeń,PN-EN 40-3-3:2013-06,{'PN-EN 40-3-3:2004'}
Słupy oświetleniowe -- Część 3-3: Projektowanie i weryfikacja -- Weryfikacja za pomocą obliczeń,PN-EN 40-3-3:2013-06,{'PN-EN 40-3-3:2004'}
Słupy oświetleniowe -- Część 4: Wymagania dotyczące słupów oświetleniowych z betonu zbrojonego i sprężonego,PN-EN 40-4:2008,"{'PN-EN 40-4:2006/AC:2006', 'PN-EN 40-4:2006'}"
Słupy oświetleniowe -- Część 5: Słupy oświetleniowe stalowe -- Wymagania,PN-EN 40-5:2004,{'PN-EN 40-5:2002'}
Słupy oświetleniowe -- Część 6: Słupy oświetleniowe aluminiowe -- Wymagania,PN-EN 40-6:2004,{'PN-EN 40-6:2002'}
Słupy oświetleniowe -- Część 7: Słupy oświetleniowe z kompozytów polimerowych wzmocnionych włóknem szklanym -- Wymagania,PN-EN 40-7:2004,set()
Pisuary naścienne -- Wymiary przyłączeniowe,PN-EN 80:2002,set()
Metody badań okien -- Badania mechaniczne,PN-EN 107:2002,set()
"Zwieńczenia wpustów ściekowych i studzienek włazowych do nawierzchni dla ruchu pieszego i kołowego -- Część 1: Definicje, klasyfikacja, ogólne zasady projektowania, właściwości użytkowe i metody badań",PN-EN 124-1:2015-07,{'PN-EN 124:2000'}
"Zwieńczenia wpustów i studzienek włazowych do nawierzchni dla ruchu pieszego i kołowego -- Część 1: Klasyfikacja, ogólne zasady projektowania, wymagania funkcjonalne i badawcze, metody badań i ocena zgodności",PN-EN 124-1:2015-07,{'PN-EN 124:2000'}
Zwieńczenia wpustów ściekowych i studzienek włazowych do nawierzchni dla ruchu pieszego i kołowego -- Część 2: Zwieńczenia wpustów ściekowych i studzienek włazowych wykonane z żeliwa,PN-EN 124-2:2015-07,{'PN-EN 124:2000'}
Zwieńczenia wpustów i studzienek włazowych do nawierzchni dla ruchu pieszego i kołowego -- Część 2: Zwieńczenia wpustów i studzienek włazowych wykonane z żeliwa,PN-EN 124-2:2015-07,{'PN-EN 124:2000'}
Zwieńczenia wpustów ściekowych i studzienek włazowych do nawierzchni dla ruchu pieszego i kołowego -- Część 3: Zwieńczenia wpustów ściekowych i studzienek włazowych wykonane ze stali lub stopów aluminium,PN-EN 124-3:2015-07,{'PN-EN 124:2000'}
Zwieńczenia wpustów i studzienek włazowych do nawierzchni dla ruchu pieszego i kołowego -- Część 3: Zwieńczenia wpustów i studzienek włazowych wykonane ze stali i stopów aluminium,PN-EN 124-3:2015-07,{'PN-EN 124:2000'}
Zwieńczenia wpustów ściekowych i studzienek włazowych do nawierzchni dla ruchu pieszego i kołowego -- Część 4: Zwieńczenia wpustów ściekowych i studzienek włazowych wykonane z betonu zbrojonego stalą,PN-EN 124-4:2015-07,{'PN-EN 124:2000'}
Zwieńczenia wpustów i studzienek  włazowych do nawierzchni dla ruchu pieszego i kołowego -- Część 4: Zwieńczenia wpustów i studzienek włazowych wykonane z betonu zbrojonego stalą,PN-EN 124-4:2015-07,{'PN-EN 124:2000'}
Zwieńczenia wpustów ściekowych i studzienek włazowych do nawierzchni dla ruchu pieszego i kołowego -- Część 5: Zwieńczenia wpustów ściekowych i studzienek włazowych wykonane z materiałów kompozytowych,PN-EN 124-5:2015-07,{'PN-EN 124:2000'}
Zwieńczenia wpustów i studzienek  włazowych do nawierzchni dla ruchu pieszego i kołowego -- Część 5: Zwieńczenia wpustów i studzienek włazowych wykonane z materiałów kompozytowych,PN-EN 124-5:2015-07,{'PN-EN 124:2000'}
"Zwieńczenia wpustów ściekowych i studzienek włazowych do nawierzchni dla ruchu pieszego i kołowego -- Część 6: Zwieńczenia wpustów ściekowych i studzienek włazowych wykonane z polipropylenu (PP), polietylenu (PE) lub nieplastyfikowanego poli(chlorku winylu) (PVC-U)",PN-EN 124-6:2015-07,{'PN-EN 124:2000'}
"Zwieńczenia wpustów i studzienek  włazowych do nawierzchni dla ruchu pieszego i kołowego -- Część 6: Zwieńczenia wpustów i studzienek włazowych wykonane z polipropylenu (PP), polietylenu (PE) lub nieplastyfikowanego poli(chlorku winylu) (PVC-U)",PN-EN 124-6:2015-07,{'PN-EN 124:2000'}
Metody badań drzwi -- Badanie sztywności skrzydeł drzwiowych przez wielokrotne wichrowanie,PN-EN 130:1998,{'PN-B-06087:1992'}
"Okucia budowlane -- Zamknięcia awaryjne do wyjść uruchamiane klamką lub płytką naciskową, przeznaczone do stosowania na drogach ewakuacyjnych -- Wymagania i metody badań",PN-EN 179:2009,{'PN-EN 179:2008'}
Metody badania cementu -- Część 1: Oznaczanie wytrzymałości,PN-EN 196-1:2016-07,{'PN-EN 196-1:2006'}
Metody badania cementu -- Część 1: Oznaczanie wytrzymałości,PN-EN 196-1:2016-07,{'PN-EN 196-1:2006'}
Metody badania cementu -- Część 2: Analiza chemiczna cementu,PN-EN 196-2:2013-11,{'PN-EN 196-2:2006'}
Metody badania cementu -- Część 2: Analiza chemiczna cementu,PN-EN 196-2:2013-11,{'PN-EN 196-2:2006'}
Metody badania cementu -- Część 3: Oznaczanie czasów wiązania i stałości objętości,PN-EN 196-3:2016-12,{'PN-EN 196-3+A1:2011'}
Metody badania cementu -- Część 3: Oznaczanie czasów wiązania i stałości objętości,PN-EN 196-3:2016-12,{'PN-EN 196-3+A1:2011'}
Metody badania cementu -- Część 5: Badanie pucolanowości cementów pucolanowych,PN-EN 196-5:2011,{'PN-EN 196-5:2006'}
Metody badania cementu -- Część 5: Badanie pucolanowości cementów pucolanowych,PN-EN 196-5:2011,{'PN-EN 196-5:2006'}
Metody badania cementu -- Część 6: Oznaczanie stopnia zmielenia,PN-EN 196-6:2019-01,{'PN-EN 196-6:2011'}
Metody badania cementu -- Część 7: Metody pobierania i przygotowania próbek cementu,PN-EN 196-7:2009,{'PN-EN 196-7:2008'}
Metody badania cementu -- Część 8: Ciepło hydratacji -- Metoda rozpuszczania,PN-EN 196-8:2010,{'PN-EN 196-8:2005'}
Metody badania cementu -- Część 9: Ciepło hydratacji -- Metoda semiadiabatyczna,PN-EN 196-9:2010,{'PN-EN 196-9:2005'}
Metody badania cementu -- Część 10: Oznaczanie w cemencie zawartości chromu(VI) rozpuszczalnego w wodzie,PN-EN 196-10:2016-07,{'PN-EN 196-10:2008'}
Metody badania cementu -- Część 10: Oznaczanie w cemencie zawartości chromu (VI) rozpuszczalnego w wodzie,PN-EN 196-10:2016-07,{'PN-EN 196-10:2008'}
Metody badania cementu -- Część 11: Ciepło hydratacji -- Metoda izotermiczna,PN-EN 196-11:2019-01,set()
"Cement -- Część 1: Skład, wymagania i kryteria zgodności dotyczące cementów powszechnego użytku",PN-EN 197-1:2012,"{'PN-EN 197-1:2002/A1:2005', 'PN-EN 197-1:2002', 'PN-EN 197-1:2002/A3:2007'}"
"Cement -- Część 1: Skład, wymagania i kryteria zgodności dotyczące cementów powszechnego użytku",PN-EN 197-1:2012,"{'PN-EN 197-1:2002/A1:2005', 'PN-EN 197-1:2002', 'PN-EN 197-1:2002/A3:2007'}"
"Cement -- Część 1: Skład, wymagania i kryteria zgodności dotyczące cementów powszechnego użytku",PN-EN 197-1:2012,"{'PN-EN 197-1:2002/A1:2005', 'PN-EN 197-1:2002', 'PN-EN 197-1:2002/A3:2007'}"
Cement -- Część 2: Ocena zgodności,PN-EN 197-2:2014-05,{'PN-EN 197-2:2002'}
Cement -- Część 2: Ocena zgodności,PN-EN 197-2:2014-05,{'PN-EN 197-2:2002'}
Urządzenia sanitarne -- Wanny wykonane z wylewanych płyt z usieciowanego tworzywa akrylowego -- Wymagania i metody badań,PN-EN 198:2008,{'PN-EN 198:2000'}
Urządzenia sanitarne -- Wanny wykonane z wylewanych płyt z usieciowanego tworzywa akrylowego -- Wymagania i metody badań,PN-EN 198:2008,{'PN-EN 198:2000'}
Armatura sanitarna -- Zawory wypływowe i baterie mieszające do systemów zasilania wodą typu 1 i typu 2 -- Ogólne wymagania techniczne,PN-EN 200:2008,{'PN-EN 200:2005'}
Armatura sanitarna -- Zawory wypływowe i baterie mieszające do systemów zasilania wodą typu 1 i typu 2 -- Ogólne wymagania techniczne,PN-EN 200:2008,{'PN-EN 200:2005'}
"Beton -- Wymagania, właściwości, produkcja i zgodność",PN-EN 206+A1:2016-12,{'PN-EN 206:2014-04'}
"Beton -- Wymagania, właściwości, produkcja i zgodność",PN-EN 206+A1:2016-12,{'PN-EN 206:2014-04'}
Termostatyczne zawory grzejnikowe -- Wymagania i metody badań,PN-EN 215:2005,{'PN-EN 215-1:2002'}
Wanny kąpielowe -- Wymiary przyłączeniowe,PN-EN 232:2013-04,{'PN-EN 232:2005'}
Armatura sanitarna -- Wymagania ogólne dotyczące regulatorów strumienia,PN-EN 246:2005,"{'PN-M-75014:1992', 'PN-EN 246:2004'}"
